PID: 666, Name: distnoted, CPU: 0.00%, Memory: 1458176 bytes
PID: 667, Name: locationd, CPU: 0.04%, Memory: 10829824 bytes
PID: 669, Name: rapid7_endpoint_broker, CPU: 0.02%, Memory: 13533184 bytes
PID: 674, Name: distnoted, CPU: 0.00%, Memory: 1458176 bytes
PID: 675, Name: ir_agent, CPU: 0.45%, Memory: 40861696 bytes
PID: 696, Name: wifianalyticsd, CPU: 0.00%, Memory: 3325952 bytes
PID: 728, Name: distnoted, CPU: 0.00%, Memory: 1458176 bytes
PID: 764, Name: distnoted, CPU: 0.03%, Memory: 3833856 bytes
PID: 768, Name: securityd_service, CPU: 0.00%, Memory: 1032192 bytes
PID: 774, Name: UserEventAgent, CPU: 0.01%, Memory: 4046848 bytes
PID: 778, Name: universalaccessd, CPU: 0.00%, Memory: 5128192 bytes
PID: 779, Name: WindowManager, CPU: 0.04%, Memory: 13828096 bytes
PID: 782, Name: lsd, CPU: 0.01%, Memory: 9158656 bytes
PID: 786, Name: nsurlsessiond, CPU: 0.01%, Memory: 8454144 bytes
PID: 787, Name: rapportd, CPU: 0.00%, Memory: 5029888 bytes
PID: 789, Name: usernoted, CPU: 0.01%, Memory: 9404416 bytes
PID: 791, Name: WiFiAgent, CPU: 0.00%, Memory: 4751360 bytes
PID: 793, Name: ARDAgent, CPU: 0.00%, Memory: 3440640 bytes
PID: 801, Name: Terminal, CPU: 0.04%, Memory: 17006592 bytes
PID: 802, Name: identityservicesd, CPU: 0.00%, Memory: 7585792 bytes
PID: 805, Name: NotificationCenter, CPU: 0.02%, Memory: 16482304 bytes
PID: 808, Name: SSMenuAgent, CPU: 0.00%, Memory: 3915776 bytes
PID: 816, Name: Electron, CPU: 0.23%, Memory: 92602368 bytes
PID: 818, Name: Dock, CPU: 0.02%, Memory: 27508736 bytes
PID: 819, Name: fontd, CPU: 0.00%, Memory: 3391488 bytes
PID: 820, Name: ControlCenter, CPU: 0.05%, Memory: 30261248 bytes
PID: 821, Name: SystemUIServer, CPU: 0.00%, Memory: 3801088 bytes
PID: 823, Name: Finder, CPU: 0.05%, Memory: 20643840 bytes
PID: 827, Name: fontworker, CPU: 0.00%, Memory: 2637824 bytes
PID: 830, Name: ContinuityCaptureAgent, CPU: 0.02%, Memory: 8093696 bytes
PID: 832, Name: filecoordinationd, CPU: 0.00%, Memory: 6291456 bytes
PID: 833, Name: pboard, CPU: 0.00%, Memory: 5423104 bytes
PID: 846, Name: sharedfilelistd, CPU: 0.00%, Memory: 4423680 bytes
PID: 848, Name: useractivityd, CPU: 0.00%, Memory: 4489216 bytes
PID: 849, Name: com.apple.dock.extra, CPU: 0.04%, Memory: 7077888 bytes
PID: 850, Name: automountd, CPU: 0.00%, Memory: 2015232 bytes
PID: 851, Name: AMPDeviceDiscoveryAgent, CPU: 0.00%, Memory: 2916352 bytes
PID: 854, Name: ACCFinderSync, CPU: 0.00%, Memory: 3293184 bytes
PID: 863, Name: Spotlight, CPU: 0.03%, Memory: 50184192 bytes
PID: 865, Name: imklaunchagent, CPU: 0.00%, Memory: 3866624 bytes
PID: 873, Name: sharingd, CPU: 0.01%, Memory: 9207808 bytes
PID: 875, Name: corespotlightd, CPU: 0.02%, Memory: 21528576 bytes
PID: 878, Name: commerce, CPU: 0.00%, Memory: 2588672 bytes
PID: 881, Name: PAH_Extension, CPU: 0.00%, Memory: 4177920 bytes
PID: 889, Name: CVMServer, CPU: 0.00%, Memory: 1032192 bytes
PID: 896, Name: chrome_crashpad_handler, CPU: 0.00%, Memory: 1933312 bytes
PID: 900, Name: Code - Insiders Helper (GPU), CPU: 0.14%, Memory: 55590912 bytes
PID: 903, Name: Code - Insiders Helper, CPU: 0.01%, Memory: 15417344 bytes
PID: 906, Name: login, CPU: 0.00%, Memory: 1867776 bytes
PID: 908, Name: Code - Insiders Helper (Renderer), CPU: 0.25%, Memory: 46301184 bytes
PID: 909, Name: Code - Insiders Helper (Renderer), CPU: 0.19%, Memory: 43433984 bytes
PID: 913, Name: fish, CPU: 0.00%, Memory: 1523712 bytes
PID: 917, Name: SubmitDiagInfo, CPU: 0.00%, Memory: 3309568 bytes
PID: 922, Name: login, CPU: 0.00%, Memory: 1867776 bytes
PID: 923, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 927, Name: login, CPU: 0.00%, Memory: 1867776 bytes
PID: 928, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 939, Name: login, CPU: 0.00%, Memory: 1867776 bytes
PID: 943, Name: fish, CPU: 0.00%, Memory: 278528 bytes
PID: 1020, Name: Code - Insiders Helper, CPU: 0.11%, Memory: 24231936 bytes
PID: 1021, Name: Code - Insiders Helper, CPU: 0.02%, Memory: 10321920 bytes
PID: 1022, Name: Code - Insiders Helper, CPU: 0.02%, Memory: 13746176 bytes
PID: 1023, Name: ir_agent, CPU: 0.00%, Memory: 1032192 bytes
PID: 1037, Name: corespeechd, CPU: 0.00%, Memory: 3817472 bytes
PID: 1040, Name: IntuneMdmAgent, CPU: 0.00%, Memory: 3407872 bytes
PID: 1046, Name: PanGPS, CPU: 0.03%, Memory: 3588096 bytes
PID: 1051, Name: icdd, CPU: 0.00%, Memory: 5341184 bytes
PID: 1053, Name: GlobalProtect, CPU: 0.03%, Memory: 11075584 bytes
PID: 1054, Name: XCreds, CPU: 0.01%, Memory: 8093696 bytes
PID: 1059, Name: AirPlayUIAgent, CPU: 0.00%, Memory: 3489792 bytes
PID: 1061, Name: dura, CPU: 0.02%, Memory: 4915200 bytes
PID: 1062, Name: Falcon Notifications, CPU: 0.00%, Memory: 0 bytes
PID: 1063, Name: imagent, CPU: 0.00%, Memory: 5963776 bytes
PID: 1067, Name: diagnostics_agent, CPU: 0.00%, Memory: 4407296 bytes
PID: 1069, Name: TextInputMenuAgent, CPU: 0.00%, Memory: 5029888 bytes
PID: 1070, Name: remindd, CPU: 0.01%, Memory: 8192000 bytes
PID: 1073, Name: ctkahp, CPU: 0.00%, Memory: 2490368 bytes
PID: 1085, Name: ctkahp, CPU: 0.00%, Memory: 3227648 bytes
